group,queried_name,exists,name,latest_version,updated_at,newest_version_date,total_downloads,recent_downloads,msrv,license,keywords,categories,description,repository,homepage,documentation,status,error
html,lol_html,True,lol_html,3.0.1,2026-07-29T17:24:33.400952Z,3.0.1,4845221,1538982,,,"css-selectors,html,parser,rewriter,streaming","parser-implementations,web-programming",Streaming HTML rewriter/parser with CSS selector-based API,https://github.com/cloudflare/lol-html,,https://docs.rs/lol-html,,
ipfs,iroh,True,iroh,1.0.3,2026-07-20T19:55:01.594551Z,1.0.3,1666695,995045,,,"holepunching,networking,p2p,quic",,p2p quic connections dialed by public key,https://github.com/n0-computer/iroh,,,,
html,ego-tree,True,ego-tree,0.11.0,2026-01-23T20:27:24.264349Z,0.11.0,24881546,7413571,,,"id,index,tree,vec",,Vec-backed ID-tree,https://github.com/rust-scraper/ego-tree,,,,
docs,pulldown-cmark,True,pulldown-cmark,0.13.4,2026-05-20T08:48:23.621050Z,0.13.4,132471949,39845830,,,"commonmark,markdown",text-processing,A pull parser for CommonMark,https://github.com/raphlinus/pulldown-cmark,,,,
html,scraper,True,scraper,0.27.0,2026-05-11T08:58:18.308069Z,0.27.0,25172654,7377839,,,"css,html,scraping,selector","text-processing,web-programming",HTML parsing and querying with CSS selectors,https://github.com/rust-scraper/scraper,,,,
docs,comrak,True,comrak,0.54.0,2026-07-12T01:54:47.657897Z,0.54.0,6757195,1768603,,,"commonmark,markdown","parsing,command-line-utilities,text-processing",A 100% CommonMark-compatible GitHub Flavored Markdown parser and formatter,https://github.com/kivikakk/comrak,https://github.com/kivikakk/comrak,https://docs.rs/comrak,,
html,html5ever,True,html5ever,0.39.0,2026-03-13T16:22:15.148836Z,0.39.0,90032046,30083999,,,"html,html5,parser,parsing","parser-implementations,web-programming",High-performance browser-grade HTML5 parser,https://github.com/servo/html5ever,,https://docs.rs/html5ever,,
torrent,qbittorrent-rs,True,qbittorrent-rs,0.1.3,2023-03-01T07:47:23.433545Z,0.1.3,2179,56,,,,,Qbittorrent API SDK for Rust,https://github.com/Bpazy/qbt-cli/crates/qbittorrent-rs,,,,
mf2,microformats,True,microformats,0.19.0,2026-03-26T18:25:51.563157Z,0.19.0,38000,680,,,,,A union library of the Microformats types and associated parser.,https://gitlab.com/maxburon/microformats-parser,https://microformats.io,https://docs.rs/microformats,,
lsp,tower-lsp,True,tower-lsp,0.20.0,2023-08-11T03:28:08.462481Z,0.20.0,6782493,1799242,,,"language-server,lsp,tower",asynchronous,Language Server Protocol implementation based on Tower,https://github.com/ebkalderon/tower-lsp,https://github.com/ebkalderon/tower-lsp,https://docs.rs/tower-lsp/,,
torrent,librqbit,True,librqbit,8.1.1,2026-06-03T12:53:47.839727Z,9.0.0-rc.0,90021,38191,,,,,The main library used by rqbit torrent client. The binary is just a small wrapper on top of it.,https://github.com/ikatson/rqbit,,https://docs.rs/librqbit,,
lsp,lsp-types,True,lsp-types,0.97.0,2024-06-04T12:38:56.735619Z,0.97.0,31441015,7605157,,,"lsif,lsp,vscode,server,language",,"Types for interaction with a language server, using VSCode's Language Server Protocol",https://github.com/gluon-lang/lsp-types,,https://docs.rs/lsp-types,,
testing,fantoccini,True,fantoccini,0.22.1,2026-02-28T15:49:54.726669Z,0.22.1,3616807,480873,,,"automation,chromedriver,geckodriver,phantomjs,webdriver","web-programming::http-client,api-bindings,development-tools::testing",High-level API for programmatically interacting with web pages through WebDriver.,https://github.com/jonhoo/fantoccini.git,https://github.com/jonhoo/fantoccini,https://docs.rs/fantoccini,,
runtime,async-std,True,async-std,1.13.2,2025-08-15T01:43:25.834384Z,1.13.2,88267840,9216300,,,"async,await,future,std,task","network-programming,asynchronous,concurrency",Deprecated in favor of `smol` - Async version of the Rust standard library,https://github.com/async-rs/async-std,https://async.rs,,,
testing,thirtyfour,True,thirtyfour,0.37.4,2026-07-23T05:33:59.869360Z,0.37.4,1670570,337413,,,"automation,chromedriver,geckodriver,selenium,webdriver","api-bindings,development-tools::testing,web-programming::http-client","Thirtyfour is a Selenium / WebDriver library for Rust, for automated website UI testing.  Tested on Chrome and Firefox, but any webdriver-capable browser should work.",https://github.com/stevepryde/thirtyfour,https://github.com/stevepryde/thirtyfour,https://docs.rs/thirtyfour,,
runtime,tokio,True,tokio,1.53.1,2026-07-20T17:06:09.996426Z,1.53.1,869224735,202956968,,,"async,futures,io,non-blocking","asynchronous,network-programming","An event-driven, non-blocking I/O platform for writing asynchronous I/O backed applications.",https://github.com/tokio-rs/tokio,https://tokio.rs,,,
runtime,smol,True,smol,2.0.2,2024-09-07T17:37:20.276419Z,2.0.2,20421398,3664698,,,"async,await,future,io,networking","asynchronous,concurrency,network-programming",A small and fast async runtime,https://github.com/smol-rs/smol,,,,
misc,anyhow,True,anyhow,1.0.104,2026-07-18T20:59:37.656167Z,1.0.104,864954651,190503968,,,"error,error-handling","no-std,rust-patterns",Flexible concrete Error type built on std::error::Error,https://github.com/dtolnay/anyhow,,https://docs.rs/anyhow,,
misc,tracing,True,tracing,0.1.44,2025-12-18T14:26:12.360139Z,0.1.44,763529155,172242058,,,"async,logging,metrics,tracing","asynchronous,development-tools::debugging,development-tools::profiling,no-std",Application-level tracing for Rust.,https://github.com/tokio-rs/tracing,https://tokio.rs,,,
misc,thiserror,True,thiserror,2.0.20,2026-08-08T06:22:23.795550Z,2.0.20,1299482138,319173356,,,"derive,error,error-handling","no-std,rust-patterns",derive(Error),https://github.com/dtolnay/thiserror,,https://docs.rs/thiserror,,
misc,serde,True,serde,1.0.229,2026-07-18T23:05:13.266456Z,1.0.229,1256295275,263574437,,,"no_std,serde,serialization","no-std,encoding,no-std::no-alloc",A generic serialization/deserialization framework,https://github.com/serde-rs/serde,https://serde.rs,https://docs.rs/serde,,
misc,uuid,True,uuid,1.24.0,2026-07-15T20:35:59.596077Z,1.24.0,719731927,164361682,,,"guid,unique,uuid","no-std,data-structures,wasm,parser-implementations",A library to generate and parse UUIDs.,https://github.com/uuid-rs/uuid,https://github.com/uuid-rs/uuid,https://docs.rs/uuid,,
misc,chrono,True,chrono,0.4.45,2026-06-04T12:16:42.063037Z,0.4.45,728843685,154383471,,,"calendar,date,time",date-and-time,Date and time library for Rust,https://github.com/chronotope/chrono,https://github.com/chronotope/chrono,https://docs.rs/chrono/,,
misc,serde_json,True,serde_json,1.0.151,2026-07-20T05:54:44.078083Z,1.0.151,1160570508,266621241,,,"json,serde,serialization","no-std,encoding,parser-implementations",A JSON serialization file format,https://github.com/serde-rs/json,,https://docs.rs/serde_json,,
misc,bytes,True,bytes,1.12.1,2026-07-08T10:01:28.616466Z,1.12.1,929309538,215094676,,,"buffers,io,zero-copy","data-structures,network-programming",Types and traits for working with bytes,https://github.com/tokio-rs/bytes,,,,
